Unnamed: 0,Unnamed: 1,Unnamed: 2
,,EDR (SaaS & On-Premise)
,MV4-AU,Trellix EDR (Australia Data Center)
,MV4U-AU,Trellix EDR - Upgrade (Australia Data Center)
,,Helix (SaaS)
,XDR-AU,Helix Connect (Australia Data Center)
,OXDR-50GB-AU-ADDON,Helix Connect Open XDR for External Data Add-on - 50 GB (Australia Data Center)
,OXDR-100GB-AU-ADDON,Helix Connect Open XDR for External Data Add-on - 100 GB (Australia Data Center)
,OXDR-250GB-AU-ADDON,Helix Connect Open XDR for External Data Add-on - 250 GB (Australia Data Center)
,OXDR-1TB-AU-ADDON,Helix Connect Open XDR for External Data Add-on - 1 TB (Australia Data Center)
,OXDR-50GB-10M-AU-ADDON,Helix Connect XDR Retention 10 Months Add-On - 50 GB (Australia Data Center)
,OXDR-100GB-10M-AU-ADDON,Helix Connect XDR Retention 10 Months Add-On - 100 GB (Australia Data Center)
,OXDR-250GB-10M-AU-ADDON,Helix Connect XDR Retention 10 Months Add-On - 250 GB (Australia Data Center)
,OXDR-1TB-10M-AU-ADDON,Helix Connect XDR Retention 10 Months Add-On - 1 TB (Australia Data Center)
,OXDRCS-2YR-50GB-ADDON-AU,Helix Connect 2 Year Cold Storage - 50 GB (Australia Data Center)
,OXDRCS-2YR-100GB-ADDON-AU,Helix Connect 2 Year Cold Storage - 100 GB (Australia Data Center)
,OXDRCS-2YR-250GB-ADDON-AU,Helix Connect 2 Year Cold Storage - 250 GB (Australia Data Center)
,OXDRCS-2YR-1TB-ADDON-AU,Helix Connect 2 Year Cold Storage - 1 TB (Australia Data Center)
,OXDRCS-3YR-50GB-ADDON-AU,Helix Connect 3 Year Cold Storage - 50 GB (Australia Data Center)
,OXDRCS-3YR-100GB-ADDON-AU,Helix Connect 3 Year Cold Storage - 100 GB (Australia Data Center)
,OXDRCS-3YR-250GB-ADDON-AU,Helix Connect 3 Year Cold Storage - 250 GB (Australia Data Center)
,OXDRCS-3YR-1TB-ADDON-AU,Helix Connect 3 Year Cold Storage - 1 TB (Australia Data Center)
,XDRQS8-50GB-ADDON-AU,Helix Connect 8 Day Index Search Retention - 50 GB (Australia Data Center)
,XDRQS8-100GB-ADDON-AU,Helix Connect 8 Day Index Search Retention - 100 GB (Australia Data Center)
,XDRQS8-250GB-ADDON-AU,Helix Connect 8 Day Index Search Retention - 250 GB (Australia Data Center)
,XDRQS8-1TB-ADDON-AU,Helix Connect 8 Day Index Search Retention - 1 TB (Australia Data Center)
,XDRQS16-50GB-ADDON-AU,Helix Connect 16 Day Index Search Retention - 50 GB (Australia Data Center)
,XDRQS16-100GB-ADDON-AU,Helix Connect 16 Day Index Search Retention - 100 GB (Australia Data Center)
,XDRQS16-250GB-ADDON-AU,Helix Connect 16 Day Index Search Retention - 250 GB (Australia Data Center)
,XDRQS16-1TB-ADDON-AU,Helix Connect 16 Day Index Search Retention - 1 TB (Australia Data Center)
,XDR-JP,Helix Connect (Tokyo Data Center)
,OXDR-50GB-ADDON-JP,Helix Connect Open XDR for External Data Add-on - 50 GB (Tokyo Data Center)
,OXDR-100GB-ADDON-JP,Helix Connect Open XDR for External Data Add-on - 100 GB (Tokyo Data Center)
,OXDR-250GB-ADDON-JP,Helix Connect Open XDR for External Data Add-on - 250 GB (Tokyo Data Center)
,OXDR-1TB-ADDON-JP,Helix Connect Open XDR for External Data Add-on - 1 TB (Tokyo Data Center)
,OXDR-50GB-10M-ADDON-JP,Helix Connect XDR Retention 10 Months Add-On - 50 GB (Tokyo Data Center)
,OXDR-100GB-10M-ADDON-JP,Helix Connect XDR Retention 10 Months Add-On - 100 GB (Tokyo Data Center)
,OXDR-250GB-10M-ADDON-JP,Helix Connect XDR Retention 10 Months Add-On - 250 GB (Tokyo Data Center)
,OXDR-1TB-10M-ADDON-JP,Helix Connect XDR Retention 10 Months Add-On - 1 TB (Tokyo Data Center)
,OXDRCS-2YR-50GB-ADDON-JP,Helix Connect 2 Year Cold Storage - 50 GB (Tokyo Data Center)
,OXDRCS-2YR-100GB-ADDON-JP,Helix Connect 2 Year Cold Storage - 100 GB (Tokyo Data Center)
,OXDRCS-2YR-250GB-ADDON-JP,Helix Connect 2 Year Cold Storage - 250 GB (Tokyo Data Center)
,OXDRCS-2YR-1TB-ADDON-JP,Helix Connect 2 Year Cold Storage - 1 TB (Tokyo Data Center)
,OXDRCS-3YR-50GB-ADDON-JP,Helix Connect 3 Year Cold Storage - 50 GB (Tokyo Data Center)
,OXDRCS-3YR-100GB-ADDON-JP,Helix Connect 3 Year Cold Storage - 100 GB (Tokyo Data Center)
,OXDRCS-3YR-250GB-ADDON-JP,Helix Connect 3 Year Cold Storage - 250 GB (Tokyo Data Center)
