Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
A,1-25,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,1550.3,CWAECE-AB-AA,
B,26-50,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,1317.73,CWAECE-AB-BA,
C,51-100,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,1178.22,CWAECE-AB-CA,
D,101-250,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,1054.22,CWAECE-AB-DA,
E,251-500,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,1007.71,CWAECE-AB-EA,
F,501-1000,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,945.66,CWAECE-AB-FA,
G,1001-2000,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,883.67,CWAECE-AB-GA,
H,2001-5000,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,806.13,CWAECE-AB-HA,
I,5001-10000,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,759.65,CWAECE-AB-IA,
J,10001-+,Cloud Workload Sec Adv 1:1TE [P+],CWAECE-AB,713.15,CWAECE-AB-JA,
CWSAU-S,"Trellix Cloud Workload Security Advanced - Transition Subscription
LICENSE: Per OS Instance.
DELIVERABLE: Download.
PRODUCT CONTENT: For existing Data Centre customers converting from existing 'perpetual' license and support, or from a lesser Subscription product, to the CWS Advanced Subscription. Also for existing Endpoint  Security Suite customer converting an existing 'node' license  used on a server to a CWS Advanced 'server' subscription.  For further information please refer to the Quoting Product Requirements Handbook.",,,,,
,Upgrade Subscription Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-25,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,1550.3,CWAECE-DB-AA,
B,26-50,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,1317.73,CWAECE-DB-BA,
C,51-100,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,1178.22,CWAECE-DB-CA,
D,101-250,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,1054.22,CWAECE-DB-DA,
E,251-500,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,1007.71,CWAECE-DB-EA,
F,501-1000,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,945.66,CWAECE-DB-FA,
G,1001-2000,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,883.67,CWAECE-DB-GA,
H,2001-5000,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,806.13,CWAECE-DB-HA,
I,5001-10000,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,759.65,CWAECE-DB-IA,
J,10001-+,CloudWorkloadSecAdv UPGD1:1TE [P+],CWAECE-DB,713.15,CWAECE-DB-JA,
,Server Security Solutions,,,,,
MOD,"Trellix MOVE AntiVirus for Virtual Desktops (VDI)
LICENSE: Per OS instance.
DELIVERABLE: Download.
PRODUCT CONTENT:  MOVE AV for Virtual Desktops (VDI), ENS for VDI (Threat Prevention, Firewall & Web control), Connectors for private cloud (VMware), ePolicy Orchestrator (on-premises).
MOVE AV for Virtual Desktops provides more effective resource utilization for virtual desktops utilizing Citrix XenDesktop or VMware View. Included are also the components required to support the MOVE scanning server (multi-platform and VMware View deployments) that provide the optimized protection for the supported nodes running on the targeted hypervisors. VMware NSX certified.
ENS for VDI provides hypervisor aware resource optimization for ENS Threat Prevention for Vmware virtualized environment. Its compatible with Advance Threat Protection (DAC and Real Protect) for Windows. ENS Threat Prevention is for the scan server.",,,,,
,Standard Offering,,,,,
,ProtectPLUS Perpetual License with 1yr Thrive Essential,,,,,
A,5-25,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,81.81,MOVCDE-AA-AA,
B,26-50,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,69.34,MOVCDE-AA-BA,
C,51-100,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,65.92,MOVCDE-AA-CA,
D,101-250,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,59.28,MOVCDE-AA-DA,
E,251-500,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,57.18,MOVCDE-AA-EA,
F,501-1000,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,53.31,MOVCDE-AA-FA,
G,1001-2000,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,51.22,MOVCDE-AA-GA,
H,2001-5000,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,43.07,MOVCDE-AA-HA,
I,5001-10000,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,40.48,MOVCDE-AA-IA,
J,10001-+,MOVE AV for Virtual Dsktops P:1TE [P+],MOVCDE-AA,38.92,MOVCDE-AA-JA,
,ProtectPLUS 1yr Thrive Essential,,,,,
A,5-25,MOVE AV for Virtual Dsktops1YrTE[P+],MOVYFM-AA,34.33,MOVYFM-AA-AA,
B,26-50,MOVE AV for Virtual Dsktops1YrTE[P+],MOVYFM-AA,29.12,MOVYFM-AA-BA,
