Band,Range,Description,PartNo,MSRP List Price,Standard Channel SKU,Unnamed: 6
XDR-FS-T,"XDR Federated Search across Cloud Instances (T)
LICENSE: Per Helix Instance
DELIVERABLE: Cloud Instance Feature (Parent to Child Cloud Instance deployment mode)
CONTENT: Federated Search capability across related Helix Connect and Helix Connect (EPS) Cloud Instances. Available for MSSP, and other pre-authorized Federated Search clients only - for an ability to search across multiple related Helix instances from a parent instance.
REQUIREMENTS: This option is ONLY available for Trellix(T) IAM customers. Helix Connect or Helix Connect (EPS) subscription must be quoted and ordered in conjunction with this additional XDR-FS-T SKU included - in all new and subsequent renewals.",,,,,
,Standard Offering,,,,,
,Federated Platform,,,,,
A,1-+,XDR Federated Search (T),XDR-FS-T,0.0,XDR-FS-T,FCS Date 03/31/2025
,Helix (On-Prem),,,,,
TAR-T,"Trellix Automated Response (TAuR) or Automated Response(T)
LICENSE: Per Unit (Customer is entitled to 5 users per instance)
DELIVERABLE: Software download for installation in customer’s hypervisor environment (No hypervisor license or hardware is included)
CONTENT: On-Prem security orchestration and automated response for Helix and third-party SIEMs
Additional comments: Trellix recommends purchasing Trellix Consulting Services along with TAuR On-Prem (for Jumpstart services).",,,,,
,Standard Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,Trellix Automated Response 1:1TE(T),TARECE-AA,224917.11,TARECE-AA-AA,
NW-EC-VA-T,"Network Evidence Collector - Virtual Appliance Add-on for Helix Connect (T)
LICENSE: Per VM Instance
DELIVERABLE: Virtual Machine Software
CONTENT: Evidence Collector Virtual Appliance - for Helix Connect and Helix Connect (EPS)
RESTRICTIONS: Maximum Quantity 10 applies. Refer to Deal Desk for exceptions
REQUIREMENTS: Only for including as a VM option for customers with a base Helix Connect and Helix Connect (EPS) subscriptions. Must additionally purchase DTI subscription option for the virtual appliance.",,,,,
,Standard Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,NW Evidence Collector Virt Appl 1:1TE(T),VNWECGXE-AT,0.0,VNWECGXE-AT-AA,
NW-EC-VA-DTI-T,"Network Evidence Collector - Virtual Appliance for Helix Connect - DTI(T)
LICENSE: Per VM Instance
DELIVERABLE: Content and Support Key
CONTENT: DTI Subscription and Support for Network Evidence Collector Virtual Appliance
REQUIREMENTS:  Must be ordered in conjunction with the corresponding Evidence Collector Virtual Appliance Subscription.",,,,,
,2 Way Offering,,,,,
,1yr Subscription with 1yr Thrive Essential,,,,,
A,1-+,NW EC Virt Appl DTI 2W 1:1TE(T),VNWECD2WECEAT,0.0,VNWECD2WECEAT-AA,
